Year,Rain Absolute Appearance %,Rain Relative Appearance %,Sun Absolute Appearance %,Sun Relative Appearance %,Wind Absolute Appearance %,Wind Relative Appearance %
1974,3.186970168917685e-09,1.1667536849621363,4.1837452718510424e-09,1.4977856731358001,3.981729672166066e-09,3.6709460639769924
1975,2.821886045270957e-09,1.033095939828409,4.319258605540404e-09,1.5462996042024004,3.9984145448955316e-09,3.686328642131995
1976,2.917771855475466e-09,1.0681998524670655,4.2209829218185585e-09,1.5111167951326026,3.6297250701121187e-09,3.34641627044413
1977,3.064927892831066e-09,1.1220738581052736,4.057702946960332e-09,1.452662374234166,3.6737587892434115e-09,3.3870130515509076
1978,3.0054296140074363e-09,1.1002914653036646,4.118847742536267e-09,1.4745522821634633,4.238698361548808e-09,3.9078577271290857
1979,2.896159556719275e-09,1.0602875634032327,3.907678230104437e-09,1.3989533511168006,4.405178958713903e-09,4.061344111994406
1980,3.2833073348408667e-09,1.2020228394826047,4.00452483326208e-09,1.4336245476825533,4.142628683542363e-09,3.819286519291803
1981,3.1919724487580343e-09,1.1685850257427504,3.900564261959711e-09,1.3964065422472443,4.029181453757413e-09,3.7146941195215795
1982,3.3500049425951223e-09,1.2264409154295988,4.165485843655408e-09,1.4912487766055358,3.837959753576798e-09,3.538397734427423
1983,3.463554759961359e-09,1.2680116427401174,4.2026344130942564e-09,1.504548007669472,3.84740591518765e-09,3.5471066003324716
1984,3.623013786301683e-09,1.3263897877248352,4.220616443641388e-09,1.510985595518951,3.270741471808217e-09,3.015452208157823
1985,3.836327049684079e-09,1.4044840348972936,4.206464074880361e-09,1.5059190310429014,2.8474885564534956e-09,2.6252352040880904
1986,3.973312920743258e-09,1.4546347301892812,4.391986638461822e-09,1.5723363245730109,2.703095769539849e-09,2.4921126225897416
1987,3.928753606171779e-09,1.4383215105103797,4.540247924646388e-09,1.6254140374591208,2.874711855465379e-09,2.650333658926632
1988,4.095612405766565e-09,1.4994087215531147,4.680547350493265e-09,1.675641395084471,2.96510257121106e-09,2.7336691612100306
1989,4.152093124182299e-09,1.5200863817909092,4.4264367226162384e-09,1.5846694947667064,2.870954221380538e-09,2.646869317248683
1990,4.154827777955568e-09,1.5210875418890413,4.4306098883974335e-09,1.5861634929698831,2.71953446220885e-09,2.507268235631993
1991,4.139102081416958e-09,1.515330345112,4.484028695473612e-09,1.6052874880307262,2.6957468088141733e-09,2.4853372659805713
1992,4.020568743510041e-09,1.4719351448234685,4.3833779051919265e-09,1.56925438805019,2.56084736749429e-09,2.3609670515464694
1993,3.953726001850891e-09,1.4474639351760086,4.403049603985647e-09,1.5762968790970795,2.4753188992579898e-09,2.282114286622519
1994,3.823820407632723e-09,1.3999053379134816,4.106689113769768e-09,1.4701994789242303,2.673911495494817e-09,2.4652062515509074
1995,3.73628778461778e-09,1.3678595373430391,3.937265400615659e-09,1.4095455925705276,2.4880492547182544e-09,2.2938510071227998
1996,3.79391226768e-09,1.3889559312197712,4.053142461042856e-09,1.4510297149717364,2.34682315445957e-09,2.163647944745285
1997,4.036681634789208e-09,1.4778340940695942,4.131952288754277e-09,1.4792437249504657,2.6593213876031326e-09,2.4517549367837645
1998,4.219894967687012e-09,1.5449087197995564,3.9489155858964315e-09,1.4137163724505364,2.9576170609835195e-09,2.726767913117088
1999,4.382122475899657e-09,1.6043004093909305,3.9456327644611054e-09,1.4125411185586763,2.9722433046521145e-09,2.7402525431765636
2000,5.22993129061947e-09,1.9146842555797563,3.9523423983016985e-09,1.4149431752771011,2.814019800413086e-09,2.594378765211387
2001,5.656013152872357e-09,2.070673347579295,4.168182657162043e-09,1.492214238977381,2.419274592661637e-09,2.2304443733819546
2002,5.946925445143858e-09,2.1771766943375814,4.168870468081375e-09,1.492460476086445,2.437963020946692e-09,2.2476741247471748
2003,6.309050613784966e-09,2.3097511624170974,4.0067801883909256e-09,1.4344319674417214,2.5339956016437857e-09,2.3362111308096107
2004,6.45000303465101e-09,2.3613540164549947,4.178338995234185e-09,1.4958502198193138,2.2643213514512387e-09,2.0875856065254026
2005,6.745981204699301e-09,2.469711987276375,4.588404972440317e-09,1.642654316577345,1.8474885341806286e-09,1.7032875963936467
2006,7.30214832053314e-09,2.673325450051356,4.935961222093546e-09,1.7670798581708702,1.7046713733053535e-09,1.5716176595196414
2007,7.3139847140056355e-09,2.6776587682089543,5.156259883351159e-09,1.845947035114619,1.580164060115725e-09,1.4568284425406854
2008,8.113220346047032e-09,2.970259912685317,5.30254962557589e-09,1.8983189329701473,1.642157648949562e-09,1.5139832821854324
2009,8.740978569922651e-09,3.2000829678602907,5.5500093211678444e-09,1.9869097917946354,1.5103297308241955e-09,1.392444851149421
2010,9.472523867971276e-09,3.467902598097,5.553252742572313e-09,1.9880709404296253,1.4335446723539353e-09,1.3216530517628229
2011,1.0284338785344308e-08,3.7651090343511204,5.422364216364376e-09,1.9412126958201559,1.5094276057233837e-09,1.391613139089411
2012,1.1171637848932697e-08,4.089950309052097,5.4335895306932355e-09,1.945231371405243,1.529153611770243e-09,1.409799482768617
2013,1.1359777420810735e-08,4.158828436910585,5.386529829319388e-09,1.9283839435816525,1.4960298183795485e-09,1.379261081374479
2014,1.1413012061216904e-08,4.17831770401051,5.495697924517984e-09,1.9674662486283072,1.5433130800110042e-09,1.422853770348656
2015,1.1118273418002963e-08,4.070413525482415,5.4638630703207625e-09,1.9560693338008734,1.3835313088636105e-09,1.2755433519671606
2016,1.0741322772206408e-08,3.932411432045391,5.351955658412193e-09,1.916006350186146,1.4269710294342477e-09,1.3155924975341653
2017,1.0516836181431732e-08,3.8502266160199907,5.5518427286016525e-09,1.987566153788243,1.4378688957076649e-09,1.325639759050135
2018,1.0255686896248895e-08,3.7546195426359996,5.736525840460693e-09,2.05368292262542,1.3277452776128127e-09,1.2241115550582538
2019,9.441445437095852e-09,3.4565247464621174,5.580970265789409e-09,1.9979938459776028,1.3713074842325312e-09,1.2642736263426697
